,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,target
59,34,7,2,3,0,0,0,0,7,3,202,2,999,0,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
60,32,9,2,3,0,1,0,0,3,4,229,1,999,0,1,1.4,93.91799999999999,-42.7,4.963,5228.1,1
61,19,8,2,2,0,0,1,1,3,1,567,1,6,2,2,-1.7,94.215,-40.3,0.8270000000000001,4991.6,1
63,53,9,0,4,0,1,0,0,6,0,56,1,999,0,1,-1.8,92.89299999999999,-46.2,1.25,5099.1,0
64,27,0,1,3,0,0,0,0,6,2,244,1,999,1,0,-1.8,92.89299999999999,-46.2,1.266,5099.1,0
65,53,0,0,5,0,0,1,0,7,3,172,1,999,0,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
66,44,1,1,1,0,0,1,0,6,2,244,2,999,0,1,-1.8,92.89299999999999,-46.2,1.327,5099.1,0
67,33,4,1,2,0,1,0,1,6,4,192,1,999,0,1,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
68,41,9,1,4,0,0,0,0,8,2,173,2,999,0,1,-3.4,92.431,-26.9,0.741,5017.5,0
70,44,9,1,4,0,0,0,0,7,0,442,1,999,0,1,-1.1,94.76700000000001,-50.8,1.028,4963.6,0
71,44,2,0,5,0,1,0,1,6,3,1032,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
72,27,0,2,5,0,1,0,0,1,3,287,1,6,1,2,-2.9,92.20100000000001,-31.4,0.883,5076.2,0
73,34,4,1,5,0,1,0,0,7,2,140,2,999,0,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
74,31,0,2,3,0,1,0,0,3,3,85,4,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,0
75,42,1,1,1,0,0,1,0,6,3,431,1,999,0,1,-1.8,92.89299999999999,-46.2,1.291,5099.1,0
76,40,0,1,5,0,1,0,1,6,3,66,2,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
77,48,5,1,0,0,0,0,1,6,4,157,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
78,49,4,1,5,0,0,0,1,6,4,166,3,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
79,58,9,1,0,0,1,1,1,4,0,269,1,999,0,1,1.4,94.465,-41.8,4.947,5228.1,0
80,32,0,2,3,0,1,0,0,3,0,147,2,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,1
81,32,1,0,0,0,0,0,0,6,1,827,2,999,0,1,-1.8,92.89299999999999,-46.2,1.244,5099.1,0
82,30,6,2,5,0,0,0,0,0,2,188,1,999,0,1,-1.8,93.075,-47.1,1.435,5099.1,0
83,31,7,1,3,0,0,0,0,7,2,283,5,999,0,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
84,40,0,2,5,0,0,1,1,4,1,270,1,999,0,1,1.4,94.465,-41.8,4.96,5228.1,0
86,34,3,0,1,0,0,0,1,6,0,243,3,999,0,1,1.1,93.994,-36.4,4.864,5191.0,0
87,41,9,1,4,0,1,0,1,6,2,768,4,999,0,1,1.1,93.994,-36.4,4.86,5191.0,1
88,68,5,1,3,0,1,0,0,0,1,194,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,0
89,51,5,1,2,0,1,0,1,6,1,99,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
90,48,0,1,4,0,1,0,0,0,1,333,1,7,1,2,-1.8,93.749,-34.6,0.642,5008.7,0
92,50,7,1,3,0,0,0,1,6,3,87,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
93,45,9,0,5,0,1,0,0,7,2,104,4,999,1,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,1
94,33,0,2,5,0,0,0,0,3,0,704,1,999,0,1,-2.9,92.469,-33.6,1.0590000000000002,5076.2,1
95,41,7,1,3,0,0,0,0,5,4,377,6,999,0,1,-1.8,92.84299999999999,-50.0,1.778,5099.1,1
96,29,8,2,4,0,1,1,0,7,2,123,1,7,1,2,-3.4,92.649,-30.1,0.7140000000000001,5017.5,0
97,53,0,1,3,0,0,0,1,4,3,177,26,999,0,1,1.4,94.465,-41.8,4.864,5228.1,1
98,48,2,1,5,0,0,0,0,0,2,327,2,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,0
99,27,7,2,3,0,1,1,1,4,0,25,26,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
100,35,0,1,5,0,1,1,0,1,4,156,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
101,55,3,2,2,0,0,0,1,6,2,553,1,999,0,1,1.1,93.994,-36.4,4.86,5191.0,1
102,26,1,1,4,0,0,0,0,6,2,1071,2,999,0,1,-1.8,92.89299999999999,-46.2,1.266,5099.1,0
103,51,7,1,4,0,0,0,1,6,1,158,5,999,0,1,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
104,49,0,1,3,0,0,0,1,6,4,139,1,999,0,1,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
105,66,3,1,0,0,0,1,0,3,3,296,1,999,1,0,-1.7,94.215,-40.3,0.8759999999999999,4991.6,0
106,55,9,1,5,0,0,0,1,6,0,58,1,999,0,1,1.1,93.994,-36.4,4.864,5191.0,0
107,32,9,2,5,0,0,1,0,6,3,542,3,999,1,0,-1.8,92.89299999999999,-46.2,1.291,5099.1,0
108,35,0,2,3,0,0,0,0,6,4,236,3,999,0,1,-1.8,92.89299999999999,-46.2,1.27,5099.1,0
109,37,9,1,4,0,1,0,0,7,2,63,2,999,1,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
110,34,4,1,5,0,1,0,1,6,1,18,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
111,29,1,2,2,0,1,0,0,6,3,396,1,999,1,0,-1.8,92.89299999999999,-46.2,1.291,5099.1,0
112,48,1,1,0,0,1,0,0,1,4,89,1,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,1
113,29,9,2,4,0,1,0,0,7,0,1555,2,999,0,1,-0.1,93.2,-42.0,4.021,5195.8,0
114,27,8,2,2,0,1,0,0,1,4,111,1,999,0,1,-1.7,94.027,-38.3,0.9,4991.6,0
115,27,0,1,5,0,1,0,0,3,0,352,1,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,0
116,42,1,2,2,0,1,0,1,6,3,195,5,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
117,31,0,1,5,0,1,0,1,6,0,218,1,999,0,1,1.1,93.994,-36.4,4.855,5191.0,1
118,56,5,1,5,0,0,0,0,1,3,634,3,999,1,0,-1.7,94.027,-38.3,0.8859999999999999,4991.6,0
119,59,4,1,0,0,1,1,1,6,3,318,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
120,25,1,2,2,0,1,1,0,3,4,322,2,999,0,1,1.4,93.91799999999999,-42.7,4.963,5228.1,0
121,42,0,1,5,0,0,0,0,3,4,799,6,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,0
122,58,9,1,4,0,0,0,0,1,3,287,1,999,0,1,1.4,93.444,-36.1,4.968,5228.1,0
123,44,9,0,4,0,1,0,0,0,2,172,2,999,0,1,-1.8,93.075,-47.1,1.41,5099.1,0
124,34,0,1,5,0,1,1,1,4,3,72,1,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
125,30,0,1,5,0,1,1,0,1,4,37,3,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
126,34,9,2,4,0,1,0,0,6,4,404,2,999,0,1,-1.8,92.89299999999999,-46.2,1.281,5099.1,0
127,36,1,1,1,0,1,0,0,6,4,217,1,999,1,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,0
128,31,0,0,5,0,1,0,1,6,3,259,2,999,0,1,-1.8,92.89299999999999,-46.2,1.344,5099.1,0
129,49,4,1,5,0,0,1,0,1,3,297,2,999,0,1,1.4,93.444,-36.1,4.966,5228.1,0
130,34,8,2,0,0,0,0,1,6,2,95,1,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
131,50,1,1,0,0,0,1,0,3,3,231,2,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,0
132,42,1,1,0,0,1,0,0,6,3,442,2,999,0,1,-1.8,92.89299999999999,-46.2,1.344,5099.1,0
133,32,1,1,2,0,1,0,0,7,3,247,2,999,0,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
134,38,9,0,3,0,1,0,1,7,4,137,4,999,1,0,-0.1,93.2,-42.0,4.12,5195.8,0
135,51,5,1,2,0,1,0,0,7,2,259,1,999,0,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,1
136,36,0,1,5,0,0,0,0,1,1,610,2,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
137,41,7,0,2,0,1,0,1,6,4,189,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
139,30,9,2,5,0,0,0,0,1,0,147,2,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
140,39,10,1,2,0,1,0,0,7,1,63,1,999,0,1,-0.1,93.2,-42.0,4.191,5195.8,0
141,57,4,1,5,0,1,0,0,1,2,107,4,999,0,1,-2.9,92.20100000000001,-31.4,0.883,5076.2,0
142,58,1,1,4,0,0,0,1,4,0,15,12,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
143,51,4,1,5,0,1,0,0,1,2,386,1,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
144,35,9,2,5,0,1,0,1,6,4,294,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
145,39,1,1,0,0,1,0,1,6,4,85,1,999,0,1,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
146,58,1,1,3,0,0,0,0,6,1,176,1,999,0,1,-1.8,92.89299999999999,-46.2,1.244,5099.1,0
147,37,0,2,3,0,0,0,1,3,4,130,2,999,0,1,1.4,93.91799999999999,-42.7,4.963,5228.1,0
148,48,0,1,5,0,0,0,0,1,4,91,1,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
149,50,4,1,5,0,1,0,1,6,4,281,2,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
150,35,1,1,2,0,0,0,1,4,1,232,1,999,0,1,1.4,94.465,-41.8,4.865,5228.1,0
151,36,1,1,1,0,0,0,1,3,2,208,5,999,0,1,1.4,93.91799999999999,-42.7,4.968,5228.1,0
152,26,8,2,3,0,1,0,0,6,3,205,1,999,0,1,-1.8,92.89299999999999,-46.2,1.344,5099.1,0
153,64,3,1,0,0,0,1,0,2,2,501,1,6,1,2,-3.0,92.713,-33.0,0.7140000000000001,5023.5,1
154,47,1,1,4,0,1,0,0,3,0,175,1,999,0,1,-2.9,92.469,-33.6,1.0590000000000002,5076.2,0
155,45,0,1,3,0,1,0,0,7,1,58,1,999,1,0,-0.1,93.2,-42.0,4.191,5195.8,0
156,24,7,2,2,0,0,0,0,3,4,250,1,999,0,1,1.4,93.91799999999999,-42.7,4.963,5228.1,1
157,44,0,1,1,0,1,0,0,6,1,608,1,999,1,0,-1.8,92.89299999999999,-46.2,1.244,5099.1,0
158,31,1,1,1,0,1,0,0,6,1,392,7,999,0,1,-1.8,92.89299999999999,-46.2,1.354,5099.1,0
159,44,7,2,3,0,0,0,1,4,3,363,3,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
160,47,0,0,3,0,1,0,0,6,1,142,4,999,1,0,-1.8,92.89299999999999,-46.2,1.264,5099.1,0
161,29,9,2,4,0,0,0,0,1,1,157,3,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
162,34,1,1,1,0,1,0,0,6,1,316,1,999,0,1,-1.8,92.89299999999999,-46.2,1.244,5099.1,0
163,48,10,1,3,0,1,0,1,4,0,334,1,999,0,1,1.4,94.465,-41.8,4.967,5228.1,0
164,35,0,2,3,0,1,0,0,6,2,187,1,999,0,1,-1.8,92.89299999999999,-46.2,1.327,5099.1,0
165,39,4,1,5,0,0,0,1,4,0,47,1,999,0,1,1.4,94.465,-41.8,4.967,5228.1,0
166,30,0,1,3,0,1,0,0,7,4,246,3,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,0
167,36,0,2,5,0,0,0,0,8,2,197,2,999,0,1,-1.1,94.601,-49.5,0.965,4963.6,0
168,26,2,2,3,0,1,0,0,6,1,226,2,999,0,1,-1.8,92.89299999999999,-46.2,1.244,5099.1,0
169,37,0,2,5,0,1,0,0,6,3,414,5,999,0,1,-1.8,92.89299999999999,-46.2,1.344,5099.1,0
170,48,1,1,4,0,1,1,1,4,0,12,24,999,0,1,1.4,94.465,-41.8,4.959,5228.1,1
171,34,0,1,3,0,1,0,0,1,2,1503,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
172,50,2,1,4,0,1,0,1,3,2,155,2,999,0,1,1.4,93.91799999999999,-42.7,4.966,5228.1,0
173,50,9,0,4,0,0,0,1,6,1,173,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
174,26,9,2,5,0,1,0,0,3,2,261,1,999,0,1,1.4,93.91799999999999,-42.7,4.958,5228.1,0
175,55,5,1,3,0,0,0,0,1,1,88,2,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
176,29,0,2,3,0,0,0,0,6,0,64,3,999,1,0,-1.8,92.89299999999999,-46.2,1.25,5099.1,1
177,35,4,1,5,0,1,0,0,7,0,579,9,999,0,1,-0.1,93.2,-42.0,4.021,5195.8,0
178,29,0,2,5,0,0,0,0,6,3,85,1,999,2,0,-1.8,93.876,-40.0,0.6679999999999999,5008.7,0
179,40,0,1,5,0,1,0,1,6,2,404,7,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
180,42,6,0,1,0,1,0,0,3,3,94,3,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,0
181,30,0,1,5,0,0,0,1,4,1,194,1,999,0,1,-2.9,92.963,-40.8,1.266,5076.2,0
182,38,0,2,3,0,1,0,1,4,1,287,2,999,0,1,1.4,94.465,-41.8,4.96,5228.1,0
184,39,9,1,4,0,1,0,0,1,2,110,3,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
185,40,9,1,4,0,1,0,1,6,4,327,3,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
186,41,7,0,3,0,1,0,0,7,4,296,1,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,0
187,49,3,1,0,0,0,0,1,6,0,556,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
188,41,7,1,2,0,1,0,1,4,4,115,1,999,0,1,1.4,94.465,-41.8,4.962,5228.1,0
189,31,1,1,3,0,0,1,0,3,1,218,3,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,0
190,47,9,0,3,0,1,0,0,1,4,56,5,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
191,43,9,1,4,0,0,0,1,4,2,112,2,999,0,1,1.4,94.465,-41.8,4.958,5228.1,0
193,36,9,2,5,0,1,0,0,1,1,101,3,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
194,42,1,1,2,0,0,0,1,4,4,141,6,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
195,52,1,1,1,0,1,0,1,6,4,138,3,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
196,30,4,1,5,0,1,0,0,5,1,170,3,999,0,1,-1.8,92.84299999999999,-50.0,1.811,5099.1,0
198,51,0,1,2,0,0,1,0,7,3,110,5,999,0,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,1
199,65,0,1,5,0,1,0,0,6,0,407,3,999,1,0,-1.8,93.876,-40.0,0.684,5008.7,0
200,60,5,0,0,0,1,0,1,6,3,135,5,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
201,28,9,2,3,0,1,0,0,3,3,662,1,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,0
202,37,0,1,3,0,0,0,0,0,2,73,3,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,1
203,36,0,1,5,0,1,0,0,0,2,483,1,0,1,2,-1.8,93.075,-47.1,1.365,5099.1,0
204,33,1,1,3,0,1,0,0,0,1,19,5,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,1
205,54,0,1,4,0,0,0,0,7,3,1868,2,10,1,2,-1.1,94.76700000000001,-50.8,1.035,4963.6,0
206,29,0,2,3,0,1,0,0,7,2,23,2,999,1,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,1
207,50,2,1,5,0,0,0,1,7,3,209,1,999,0,1,-0.1,93.2,-42.0,4.7,5195.8,0
208,41,0,1,4,0,0,0,0,0,1,9,2,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,0
209,36,9,2,4,0,0,0,0,6,4,199,1,999,1,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0
210,42,0,1,2,0,1,0,0,0,2,204,4,999,0,1,-1.8,93.075,-47.1,1.483,5099.1,0
211,41,4,1,5,0,0,1,0,6,2,35,1,999,0,1,-1.8,92.89299999999999,-46.2,1.327,5099.1,0
212,32,0,1,5,0,1,0,0,3,2,129,1,999,0,1,1.4,93.91799999999999,-42.7,4.968,5228.1,0
213,44,7,0,3,0,1,1,0,3,1,395,2,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,0
214,37,0,2,5,0,0,0,0,1,0,62,1,999,0,1,1.4,93.444,-36.1,4.966,5228.1,0
215,57,5,1,3,0,0,0,0,1,0,92,9,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,1
216,26,10,2,5,0,1,0,0,1,2,203,1,3,3,2,-1.7,94.027,-38.3,0.904,4991.6,1
217,56,4,1,1,0,1,0,0,4,3,910,1,7,2,2,-1.7,94.055,-39.8,0.723,4991.6,0
218,46,1,1,0,0,0,0,1,6,4,89,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
219,38,1,0,2,0,1,0,0,3,0,1120,2,999,0,1,1.4,93.91799999999999,-42.7,4.963,5228.1,0
220,37,4,1,3,0,0,0,0,1,0,132,2,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
221,39,3,1,0,0,0,0,0,3,4,94,1,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,0
222,47,0,1,5,0,0,0,1,6,3,262,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
223,37,9,1,4,0,1,0,1,6,3,657,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
224,36,1,2,1,0,1,0,1,4,3,214,8,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
225,31,1,2,2,0,0,0,0,1,4,38,1,999,0,1,1.4,93.444,-36.1,4.967,5228.1,0
226,43,3,1,0,0,1,0,0,3,4,97,1,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,0
227,33,4,1,5,0,0,0,0,6,4,210,2,999,1,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0
228,34,0,2,5,0,0,1,0,1,1,230,3,999,0,1,1.4,93.444,-36.1,4.97,5228.1,1
229,24,0,2,5,0,0,0,0,1,0,744,1,999,2,0,-1.7,94.027,-38.3,0.905,4991.6,0
230,24,8,2,5,0,1,1,1,6,0,65,3,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
231,35,9,2,4,0,1,0,0,6,2,100,1,999,0,1,-1.8,92.89299999999999,-46.2,1.327,5099.1,0
232,47,9,1,2,0,1,0,1,6,3,271,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
233,32,9,2,5,0,1,0,0,1,3,125,10,999,0,1,1.4,93.444,-36.1,4.963,5228.1,1
234,36,9,1,4,0,0,0,1,6,4,1423,3,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
235,38,1,1,3,0,0,0,1,0,1,340,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,0
236,42,9,0,5,0,0,1,0,3,0,241,2,999,0,1,1.4,93.91799999999999,-42.7,4.963,5228.1,0
237,58,5,1,4,0,0,0,1,6,3,427,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
238,53,0,1,5,0,0,0,1,6,2,10,7,999,0,1,1.1,93.994,-36.4,4.855,5191.0,0
240,36,1,1,1,0,1,0,0,3,3,864,4,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,0
241,53,6,1,5,0,0,0,1,6,1,592,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
242,38,6,1,2,0,0,1,0,6,4,482,2,999,0,1,-1.8,92.89299999999999,-46.2,1.281,5099.1,0
243,41,6,1,5,0,0,0,0,1,1,247,2,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
244,36,6,1,5,0,1,0,1,4,1,529,1,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
